title,box_off_num
용서는 없다,1859377
아빠가 여자를 좋아해,1239937
하모니,2536297
의형제,2160887
평행 이론,1946699
회오리 바람,54040
경계도시 2,0
이웃집 남자,402926
아마존의 눈물 극장판,0
반가운 살인자,1030989
집 나온 남자들,1028067
베스트셀러,1655198
작은 연못,1507485
경,0
대한민국 1%,1845903
포화 속으로,3374049
나쁜 놈이 더 잘 잔다,355063
맨발의 꿈,1801322
요술,1041445
마법천자문: 대마왕의 부활을 막아라,1000041
인플루언스,0
미스터 좀비,43477
김복남 살인사건의 전말,1033892
엄지아빠,0
탈주,0
해결사,2036229
할,0
된장,2320246
조금만 더 가까이,470155
우리 만난 적 있나요,577816
쩨쩨한 로맨스,1719885
용서,0
브라보! 재즈 라이프,536359
카페 느와르,2265229
오래된 인력거,0
창피해,121699
"양 한 마리, 양 두 마리",46123
하얀 정글,0
다슬이,0
REC 알이씨,0
량강도 아이들,553476
티끌모아 로맨스,45192
더 킥,477236
커플즈,197921
오늘,876718
완득이,2360548
은어,0
고래를 찾는 자전거,638451
도가니,649593
겨울냄새,0
환타스틱 모던가야그머,119691
블라인드,961869
링크,509001
퀵,1174649
모비딕,1098462
굿바이 보이,420263
종로의 기적,66411
회초리,1971267
체포왕,1868093
세상에서 가장 아름다운 이별,2201102
나는 아빠다,2150790
수상한 고객들,2250170
수상한 이웃들,477872
돌아오는 길,0
우리 이웃의 범죄,463131
엄마는 창녀다,0
위험한 상견례,2041375
간증,250594
"사랑한다, 사랑하지 않는다",846678
"혜화, 동",476780
글러브,3218679
가문의 귀환,1897255
잔혹한 앵글의 로망스,0
나의 PS 파트너,1852730
롤플레이,0
마티나,0
음치 클리닉,1799486
남영동1985,428185
돈 크라이 마미,848291
반드시 크게 들을 것 2 : Wild Days,0
범죄소년,417155
내가 살인범이다,1666906
터치,0
늑대소년,2256538
맥코리아,0
용의자X,2276632
하나안,0
투 올드 힙합 키드,0
한경직,120056
미운오리새끼,515189
황제펭귄 펭이와 솜이,0
두 개의 문,129792
I AM,1395277
후궁 : 제왕의 첩,1661900
"안녕, 하세요!",215545
천국의 아이들,134340
할머니는 일학년,156359
두레소리,214740
"봄, 눈",974474
은교,1191640
간기남,1304961
시체가 돌아왔다,2189754
말하는 건축가,0
밀월도 가는 길,168732
파파,1527207
점박이:한반도의 공룡3D,745012
댄싱퀸,2391840
누구의 딸도 아닌 해원,0
신세계,2252793
굿바이 홈런,0
불륜의 시대,0
남쪽으로 튀어,2217534
좋은 친구들,2128511
지슬 - 끝나지 않은 세월 2,169251
누구나 제 명에 죽고 싶다,126547
사이코메트리,1711162
환상속의 그대,492145
몽타주,1460346
"힘내세요, 병헌씨",30888
꼭두각시,0
홀리,13295
마이 라띠마,1585664
더 테러 라이브,1244550
슈퍼피쉬 - 끝없는 여정,0
콩가네,0
허풍,0
젊은 엄마,0
노라노,0
노브레싱,481291
말하는 건축 시티:홀,193432
댄서김의 은밀한 교수법,0
소원,1763449
고양이 소녀,0
롤플레이 2 : 동침,0
동창생,2344529
용의자,2254037
미녀전쟁,0
캐치미,1551143
그 강아지 그 고양이,686478
화려한 외출,0
오하이오 삿포로,0
마이 리틀 히어로,2501599
박수건달,2077896
배꼽,661527
나가요 미스콜,139516
우아한 거짓말,1101987
미스터 컴퍼니,0
우리별 일호와 얼룩소,697349
찌라시: 위험한 소문,2760083
조선미녀삼총사,1927041
만찬,480667
한 번도 안 해본 여자,328037
살인자,0
  이것이 우리의 끝이다,254490
그댄 나의 뱀파이어,0
황제를 위하여,1587856
레디액션! 폭력영화,302688
스퀴시랜드,268799
우는 남자,2954748
하이힐,2822345
도희야,1187459
표적,2888115
10분,682962
메이크 유어 무브,904912
카토 프로젝트,0
녀녀녀,0
방황하는 칼날,2768552
바리새인,0
욕망의 독: 중독,0
설계,0
레쓰링,0
원 컷 - 어느 친절한 살인자의 기록,74885
픽업 아티스트,609618
옹녀뎐,0
왓니껴,790980
족구왕,1043347
내 연애의 기억,0
바세코의 아이들,0
명량,4324472
군도: 민란의 시대,3516631
산타바바라,288550
나는 야한 여자가 좋다,0
숙희,0
더 테너 리리코 스핀토,920162
기술자들,3183506
신화 라이브 3D 더 레전드 컨티뉴스,366137
악사들,0
울언니,126913
정사: 위험한 성적유희,0
레디액션 청춘,2188623
"제자, 옥한흠",297392
환상,0
위층여자,0
가자! 장미여관으로 3 - 방황,0
나는 야한 여자가 좋다 3,0
스물,2053472
그라운드의 이방인,310158
살인의뢰,2578305
살인캠프,0
헬머니,2495819
조류인간,527653
최강전사 미니특공대 : 새로운 악당의 습격,142213
생각보다 맑은,0
고양이 장례식,730245
설해,665817
나의 절친 악당들,1189183
연평해전,2655643
극비수사,1564830
성난 화가,183724
은밀한 유혹,2668709
혜경궁 홍씨,733945
무뢰한,1906482
간신,3076066
연애의 맛,998334
잡식가족의 딜레마,239039
플랑크 상수,0
장수상회,2996579
파울볼,0
춘희막이,0
덫: 치명적인 유혹,148016
션샤인 러브,251604
사도,2479755
돼지 같은 여자,207384
사랑이 이긴다,535007
슈퍼레이서 엔지,31142480
제 7기사단,322764
고백,0
미쓰 와이프,1877491
위로공단,0
베테랑,3468078
악인은 살아 있다,316741
쓰리 썸머 나잇,1580429
마돈나,788031
"나의 아들, 나의 어머니",0
슬픈남자,183724
타이밍,334331
타투,342234
어떤이의 꿈,0
해에게서 소년에게,0
울보 권투부,0
어떤살인,1237333
말하지 못한 비밀,144531
조선안방 스캔들-칠거지악 2,0
